ID,Titre,Année,Genres,Note,Votes
tt0066849,The Blood on Satan's Claw,1971,Horror,6.4,8021
tt0066856,Born to Win,1971,"Comedy,Crime,Drama",5.8,2211
tt0066858,The Boy Friend,1971,"Comedy,Musical,Romance",6.8,3683
tt0066863,The Brotherhood of Satan,1971,Horror,5.5,1989
tt0066870,Bunny O'Hare,1971,Comedy,5.6,1203
tt0066886,Captain Apache,1971,"Action,Crime,Drama",4.7,1062
tt0066892,Carnal Knowledge,1971,"Comedy,Drama",6.9,15353
tt0066894,Carry on Henry VIII,1971,"Comedy,Romance",6.2,3130
tt0066895,Carry on at Your Convenience,1971,Comedy,6.2,3638
tt0066900,Catlow,1971,"Comedy,Western",5.6,1422
tt0066906,Le Chat,1971,Drama,7.5,2504
tt0066907,Chato's Land,1972,"Drama,Western",6.6,6574
tt0066914,A Virgin Among the Living Dead,1973,Horror,4.9,2803
tt0066919,The Working Class Goes to Heaven,1971,Drama,7.6,4243
tt0066921,A Clockwork Orange,1971,"Crime,Sci-Fi",8.2,897314
tt0066924,The Case of the Scorpion's Tail,1971,"Crime,Horror,Mystery",6.7,3698
tt0066927,Cold Turkey,1971,Comedy,6.6,2496
tt0066936,How Tasty Was My Little Frenchman,1971,"Adventure,Comedy",6.7,1196
tt0066939,Cut-Throats Nine,1972,"Crime,Horror,Thriller",6.7,1458
tt0066940,Confessions of a Police Captain,1971,"Crime,Drama",7.2,1808
tt0066950,Blackie the Pirate,1971,"Action,Adventure,Comedy",5.2,2295
tt0066952,"Count Yorga, Vampire",1970,"Drama,Fantasy,Horror",5.7,3171
tt0066955,Creatures the World Forgot,1971,"Adventure,Sci-Fi",4.5,1113
tt0066963,Dad's Army,1971,"Comedy,War",6.9,3737
tt0066968,Dash Akol,1971,"Drama,Romance,Thriller",7.1,1418
tt0066970,Cold Sweat,1970,"Action,Crime,Drama",5.7,3199
tt0066982,Demons of the Mind,1972,"Horror,Thriller",5.3,1965
tt0066988,Why?,1971,"Comedy,Drama",7.6,1066
tt0066989,Two English Girls,1971,"Drama,Romance",7.2,6041
tt0066993,The Devils,1971,"Biography,Drama,History",7.7,19278
tt0066995,Diamonds Are Forever,1971,"Action,Adventure,Thriller",6.5,116488
tt0066997,Directed by John Ford,1971,"Biography,Documentary",7.7,1360
tt0066999,Dirty Harry,1971,"Action,Crime,Thriller",7.7,172165
tt0067003,'Doc',1971,"Drama,Western",6.2,2128
tt0067009,One-Armed Boxer,1972,"Action,Drama,Fantasy",6.8,1541
tt0067017,Dracula vs. Frankenstein,1971,"Horror,Sci-Fi",3.5,2296
tt0067040,Eden and After,1970,"Drama,Horror,Mystery",6.4,1428
tt0067047,Emil of Lonneberga,1971,"Comedy,Drama,Family",7.3,4574
tt0067052,Endless Night,1972,"Crime,Drama,Mystery",6.0,2522
tt0067055,Equinox,1970,"Action,Adventure,Fantasy",5.2,3657
tt0067065,Escape from the Planet of the Apes,1971,"Action,Sci-Fi",6.3,42260
tt0067069,Evel Knievel,1971,"Action,Biography,Drama",5.2,1071
tt0067084,The Bloodstained Butterfly,1971,"Mystery,Thriller",6.3,2129
tt0067085,Fata Morgana,1971,"Documentary,Drama",6.7,4159
tt0067093,Fiddler on the Roof,1971,"Drama,Family,Musical",8.0,48804
tt0067108,Delusions of Grandeur,1971,"Adventure,Comedy,History",7.2,8206
tt0067109,Fools' Parade,1971,"Comedy,Drama,Thriller",6.4,1716
tt0067116,The French Connection,1971,"Action,Crime,Drama",7.7,139236
tt0067118,Friends,1971,"Drama,Romance",6.5,1148
tt0067119,Fright,1971,"Horror,Thriller",5.8,2173
tt0067123,Gamera vs. Zigra,1971,"Action,Adventure,Family",3.6,1958
tt0067124,The Gang That Couldn't Shoot Straight,1971,"Comedy,Crime",4.8,1628
tt0067128,Get Carter,1971,"Action,Crime,Thriller",7.3,37746
tt0067134,The Fifth Cord,1971,"Crime,Horror,Mystery",6.6,2710
tt0067140,"Duck, You Sucker!",1971,"Drama,War,Western",7.6,38510
tt0067144,The Go-Between,1971,"Drama,Romance",7.2,6614
tt0067148,Godzilla vs. Hedorah,1971,"Action,Animation,Family",6.1,6944
tt0067162,The Grissom Gang,1971,"Crime,Drama",6.7,1511
tt0067164,Guddi,1971,"Comedy,Drama,Family",7.2,1190
tt0067168,A Gunfight,1971,"Drama,Romance,Western",6.3,1475
tt0067176,Hands of the Ripper,1971,Horror,6.2,3130
tt0067185,Harold and Maude,1971,"Comedy,Drama,Romance",7.9,83094
tt0067204,The Hired Hand,1971,"Drama,Western",6.9,3878
tt0067216,The Horsemen,1971,"Action,Adventure,Drama",6.2,1358
tt0067217,The Hospital,1971,"Comedy,Drama,Mystery",7.1,7522
tt0067219,How to Frame a Figg,1971,Comedy,6.4,1065
tt0067224,The Hunting Party,1971,"Action,Drama,Western",6.2,3515
tt0067227,The Merchant of Four Seasons,1972,Drama,7.3,5384
tt0067229,I Drink Your Blood,1971,Horror,5.9,4291
tt0067236,The Iguana with the Tongue of Fire,1971,"Crime,Horror,Mystery",5.4,1084
tt0067242,In the Name of the Italian People,1971,"Comedy,Crime,Mystery",7.5,1776
tt0067245,The Incredible 2-Headed Transplant,1971,"Horror,Sci-Fi",3.5,1869
tt0067249,Inn of Evil,1971,"Crime,Drama",7.3,2087
tt0067274,Jo,1971,"Comedy,Crime,Thriller",7.1,3802
tt0067277,Johnny Got His Gun,1971,"Drama,War",7.8,18870
tt0067302,Kidnapped,1971,"Adventure,Drama",6.2,1571
tt0067309,Klute,1971,"Crime,Mystery,Thriller",7.1,31155
tt0067313,"Korona Rossiyskoy Imperii, ili Snova Neulovimye",1971,"Action,Adventure,History",6.6,1021
tt0067314,Kotch,1971,"Comedy,Drama",6.6,1659
