ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War",8.1,3881,Comment j'ai provoqué la seconde guerre mondiale : 2 - Pour les armes,['Tadeusz Chmielewski']
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War",8.1,3881,Comment j'ai provoqué la seconde guerre mondiale : 3 - Entre amis,['Tadeusz Chmielewski']
tt0065911,Jane Eyre,1970,Drama,6.4,1218,Jane Eyre,['Delbert Mann']
tt0065916,Joe,1970,"Drama,Thriller",6.8,4461,"Joe, c'est aussi l'Amérique",['John G. Avildsen']
tt0065922,Julius Caesar,1970,"Drama,History,War",6.1,2096,Jules César,['Stuart Burge']
tt0065932,Blind Woman's Curse,1970,"Action,Crime,Horror",6.5,1686,The Blind Woman's Curse,['Teruo Ishii']
tt0065936,Kati Patang,1970,"Drama,Family,Musical",7.2,1189,,['Shakti Samanta']
tt0065938,Kelly's Heroes,1970,"Adventure,Comedy,War",7.6,55322,De l'or pour les braves,['Brian G. Hutton']
tt0065950,The Kremlin Letter,1970,"Crime,Drama,Thriller",6.2,2362,La lettre du Kremlin,['John Huston']
tt0065955,A Love Story,1970,"Drama,Romance",7.3,7729,A Swedish Love Story : Une histoire d'amour suédoise,['Roy Andersson']
tt0065955,A Love Story,1970,"Drama,Romance",7.3,7729,Une histoire d'amour suédoise,['Roy Andersson']
tt0065963,The Landlord,1970,"Comedy,Drama,Romance",6.9,3204,Le propriétaire,['Hal Ashby']
tt0065969,The Last Valley,1971,"Adventure,Drama,War",7.0,3718,La vallée perdue,['James Clavell']
tt0065976,Let It Be,1970,"Documentary,Music",7.6,7924,Let It Be,['Michael Lindsay-Hogg']
tt0065979,The Liberation of L.B. Jones,1970,"Crime,Drama,Romance",6.8,1209,On n'achète pas le silence,['William Wyler']
tt0065981,The Lickerish Quartet,1970,Drama,5.9,1267,,['Radley Metzger']
tt0065988,Little Big Man,1970,"Adventure,Comedy,Drama",7.5,38520,Les extravagantes aventures d'un visage pâle,['Arthur Penn']
tt0065988,Little Big Man,1970,"Adventure,Comedy,Drama",7.5,38520,Little Big Man,['Arthur Penn']
tt0065989,Little Fauss and Big Halsy,1970,Drama,5.9,1518,L'Ultime Randonnée,['Sidney J. Furie']
tt0066001,The Looking Glass War,1970,"Action,Drama,Thriller",5.8,1501,Le miroir aux espions,['Frank Pierson']
tt0066011,Love Story,1970,"Drama,Romance",6.9,38138,Love Story,['Arthur Hiller']
tt0066016,Lovers and Other Strangers,1970,Comedy,6.6,1426,Lune de miel aux orties,['Cy Howard']
tt0066026,M*A*S*H,1970,"Comedy,Drama,War",7.4,79186,M*A*S*H,['Robert Altman']
tt0066040,Don't Deliver Us from Evil,1971,"Drama,Horror",6.7,2843,Mais ne nous délivrez pas du mal,['Joël Séria']
tt0066049,A Man Called Horse,1970,"Adventure,Drama,Western",6.8,9634,Un homme nommé Cheval,['Elliot Silverstein']
tt0066050,A Man Called Sledge,1970,Western,5.9,1555,Un homme nommé Sledge,"['Vic Morrow', 'Giorgio Gentili']"
tt0066053,The Man Who Haunted Himself,1970,"Drama,Mystery,Thriller",6.4,2956,La seconde mort d'Harold Pelham,['Basil Dearden']
tt0066064,The McKenzie Break,1970,"Action,Drama,War",6.5,1735,L'évasion du capitaine Schlütter,['Lamont Johnson']
tt0066070,Mera Naam Joker,1970,"Comedy,Drama",7.9,5485,,['Raj Kapoor']
tt0066078,Michael the Brave,1971,"Action,Biography,Drama",8.4,6607,La dernière croisade,['Sergiu Nicolaescu']
tt0066090,The Molly Maguires,1970,"Drama,History",6.8,4434,Traître sur commande,['Martin Ritt']
tt0066093,Monte Walsh,1970,Western,7.0,3129,Monte Walsh,['William A. Fraker']
tt0066104,She Killed in Ecstasy,1971,Horror,5.6,2091,Crimes dans l'extase,['Jesús Franco']
tt0066104,She Killed in Ecstasy,1971,Horror,5.6,2091,Elle tuait dans l'extase,['Jesús Franco']
tt0066104,She Killed in Ecstasy,1971,Horror,5.6,2091,Lubriques dans l'extase,['Jesús Franco']
tt0066104,She Killed in Ecstasy,1971,Horror,5.6,2091,Sylvia dans l'extase,['Jesús Franco']
tt0066109,The Music Lovers,1971,"Biography,Comedy,Drama",7.2,3157,La symphonie pathétique,['Ken Russell']
tt0066109,The Music Lovers,1971,"Biography,Comedy,Drama",7.2,3157,Music Lovers,['Ken Russell']
tt0066109,The Music Lovers,1971,"Biography,Comedy,Drama",7.2,3157,Music Lovers - La Symphonie pathétique,['Ken Russell']
tt0066115,Myra Breckinridge,1970,Comedy,4.5,3527,Myra Breckinridge,['Michael Sarne']
tt0066122,Deep End,1970,"Comedy,Drama,Romance",7.2,7808,Grand bain,['Jerzy Skolimowski']
